PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
281CocoC CrispCrispCF281‌‌‌,2004,CLE,139,491,78,146,24,2,15,71,36,69,20,13,.297,.344,.446,.790
281CarlosC BaergaBaerga2B281‌‌‌,1995,CLE,135,557,87,175,28,2,15,90,35,31,11,2,.314,.355,.452,.807
281BenB FranciscoFranciscoLF281‌‌‌,2008,CLE,121,447,65,119,32,0,15,54,40,86,4,3,.266,.332,.438,.770
281FranciscoF LindorLindorSS281‌‌‌,2016,CLE,158,604,99,182,30,3,15,78,57,88,19,5,.301,.358,.435,.793
281BrandonB MossMossRF281‌‌‌,2015,CLE,94,337,36,73,17,1,15,50,32,106,0,0,.217,.288,.407,.695
281BobbyB AvilaAvila2B281‌‌‌,1954,CLE,143,555,112,189,27,2,15,67,59,31,9,7,.341,.402,.477,.879
281MichaelM BrantleyBrantleyLF281‌‌‌,2015,CLE,137,529,68,164,45,0,15,84,60,51,15,1,.310,.379,.480,.859
281OscarO GambleGambleLF281‌‌‌,1975,CLE,121,348,60,91,16,3,15,45,53,39,11,5,.261,.361,.454,.815
281RicoR CartyCartyDH281‌‌‌,1977,CLE,127,461,50,129,23,1,15,80,56,51,1,2,.280,.355,.432,.787
281ÓscarÓ MercadoMercadoCF281‌‌‌,2019,CLE,115,438,70,118,25,3,15,54,28,84,15,4,.269,.318,.443,.761
281KenK KeltnerKeltner3B281‌‌‌,1940,CLE,149,543,67,138,24,10,15,77,51,56,10,5,.254,.322,.418,.740
281MattM LawtonLawtonRF281‌‌‌,2002,CLE,114,416,71,98,19,2,15,57,59,34,8,9,.236,.342,.399,.741
281AndrésA GimenezGiménez2B281‌‌‌,2023,CLE,153,557,76,140,27,5,15,62,32,112,30,6,.251,.314,.399,.713
281JordanJ LuplowLuplowRF281‌‌‌,2019,CLE,85,225,42,62,15,1,15,38,33,61,3,2,.276,.372,.551,.923
281WillieW KirklandKirklandCF281‌‌‌,1963,CLE,127,427,51,98,13,2,15,47,45,99,8,2,.230,.303,.375,.678
281LeonL WagnerWagnerLF281‌‌‌,1967,CLE,135,433,56,105,15,1,15,54,37,76,3,3,.242,.317,.386,.703
281PatP SeereySeereyLF281‌‌‌,1944,CLE,101,342,39,80,16,0,15,39,19,99,0,2,.234,.276,.412,.688
281GaryG AlexanderAlexanderC281‌‌‌,1979,CLE,110,358,54,82,9,2,15,54,46,100,4,2,.229,.313,.391,.704
281AlA RosenRosen3B281‌‌‌,1956,CLE,121,416,64,111,18,2,15,61,58,44,1,3,.267,.351,.428,.779
281VictorV MartinezMartinezC281‌‌‌,2009,CLE,99,377,56,107,21,1,15,67,51,51,0,0,.284,.368,.464,.832
281MattM LawtonLawtonLF281‌‌‌,2003,CLE,99,374,57,93,19,0,15,53,47,47,10,3,.249,.343,.420,.763
281KennyK LoftonLoftonCF281‌‌‌,2000,CLE,137,543,107,151,23,5,15,73,79,72,30,7,.278,.369,.422,.791
281MarkM ReynoldsReynolds1B281‌‌‌,2013,CLE,99,335,40,72,8,0,15,48,43,123,3,0,.215,.307,.373,.680
281JeffJ HeathHeathLF281‌‌‌,1945,CLE,102,370,60,113,16,7,15,61,56,39,3,1,.305,.398,.508,.906
281JoeJ CarterCarterLF281‌‌‌,1985,CLE,143,489,64,128,27,0,15,59,25,74,24,6,.262,.298,.409,.707
281JimJ BaxesBaxes2B281‌‌‌,1959,CLE,77,247,35,59,11,0,15,34,21,47,0,1,.239,.299,.466,.765
281JoséJ RamírezRamírez3B281‌‌‌,2024,CLE,51,206,35,55,9,1,15,51,14,25,7,2,.267,.314,.539,.853
309JeffJ HeathHeathLF309‌‌‌,1939,CLE,121,431,64,126,31,7,14,69,41,64,8,4,.292,.354,.494,.848
309JasonJ KipnisKipnis2B309‌‌‌,2012,CLE,152,591,86,152,22,4,14,76,67,109,31,7,.257,.335,.379,.714
309LarryL DobyDobyCF309‌‌‌,1948,CLE,121,439,83,132,23,9,14,66,54,77,9,9,.301,.384,.490,.874
309AlA LuplowLuplowLF309‌‌‌,1962,CLE,97,318,54,88,15,3,14,45,36,44,1,0,.277,.359,.475,.834
309PaulP SorrentoSorrento1B309‌‌‌,1994,CLE,95,322,43,90,14,0,14,62,34,68,0,1,.280,.345,.453,.798
309CoryC SnyderSnyderRF309‌‌‌,1990,CLE,123,438,46,102,27,3,14,55,21,118,1,4,.233,.268,.404,.672
309KennyK LoftonLoftonCF309‌‌‌,2001,CLE,133,517,91,135,21,4,14,66,47,69,16,8,.261,.322,.398,.720
309EarlE AverillAverillCF309‌‌‌,1938,CLE,134,482,101,159,27,15,14,93,81,48,5,2,.330,.429,.535,.964
309VicV WertzWertz1B309‌‌‌,1955,CLE,74,257,30,65,11,2,14,55,32,33,1,1,.253,.332,.475,.807
309OmarO VizquelVizquelSS309‌‌‌,2002,CLE,151,582,85,160,31,5,14,72,56,64,18,10,.275,.341,.418,.759
309AsdrúbalA CabreraCabreraSS309‌‌‌,2013,CLE,136,508,66,123,35,2,14,64,35,114,9,3,.242,.299,.402,.701
309SandyS AlomarAlomarC309‌‌‌,1994,CLE,80,292,44,84,15,1,14,43,25,31,8,4,.288,.347,.490,.837
309JoeJ AzcueAzcueC309‌‌‌,1963,CLE,94,320,26,91,16,0,14,46,15,46,1,1,.284,.314,.466,.780
309BobB ChanceChance1B309‌‌‌,1964,CLE,120,390,45,109,16,1,14,75,40,101,3,3,.279,.346,.433,.779
309LesL FlemingFleming1B309‌‌‌,1942,CLE,156,548,71,160,27,4,14,82,106,57,6,8,.292,.412,.432,.844
309VonV HayesHayesRF309‌‌‌,1982,CLE,150,527,65,132,25,3,14,82,42,63,32,13,.250,.310,.389,.699
309TonyT HortonHorton1B309‌‌‌,1968,CLE,133,477,57,119,29,3,14,59,34,56,3,1,.249,.302,.411,.713
309JeffJ HeathHeathLF309‌‌‌,1940,CLE,100,356,55,78,16,3,14,50,40,62,5,3,.219,.298,.399,.697
309OdellO HaleHale3B309‌‌‌,1936,CLE,153,620,126,196,50,13,14,87,64,43,8,5,.316,.380,.506,.886
309JohnnyJ GrubbGrubbLF309‌‌‌,1978,CLE,113,378,54,100,16,6,14,61,59,60,5,1,.265,.365,.450,.815
309BrookB JacobyJacoby3B309‌‌‌,1990,CLE,155,553,77,162,24,4,14,75,63,58,1,4,.293,.365,.427,.792
309TravisT HafnerHafner1B309‌‌‌,2003,CLE,91,291,35,74,19,3,14,40,22,81,2,1,.254,.327,.485,.812
309KennyK LoftonLoftonCF309‌‌‌,1996,CLE,154,662,132,210,35,4,14,67,61,82,75,17,.317,.372,.446,.818
309Shin-SooS ChooChooRF309‌‌‌,2008,CLE,94,317,68,98,28,3,14,66,44,78,4,3,.309,.397,.549,.946
309TitoT FranconaFrancona1B309‌‌‌,1962,CLE,158,621,82,169,28,5,14,70,47,74,3,2,.272,.327,.401,.728
309PatP SeereySeereyRF309‌‌‌,1945,CLE,126,414,56,98,22,2,14,56,66,97,1,2,.237,.342,.401,.743
309JimJ HeganHeganC309‌‌‌,1950,CLE,131,415,53,91,16,5,14,58,42,52,1,0,.219,.291,.383,.674
309JimJ HeganHeganC309‌‌‌,1948,CLE,144,472,60,117,21,6,14,61,48,74,6,3,.248,.317,.407,.724
309TylerT NaquinNaquinCF309‌‌‌,2016,CLE,116,321,52,95,18,5,14,43,36,112,6,3,.296,.372,.514,.886
309BuddyB BellBell3B309‌‌‌,1973,CLE,156,631,86,169,23,7,14,59,49,47,7,15,.268,.325,.393,.718
309JohnJ EllisEllisC309‌‌‌,1973,CLE,127,437,59,118,12,2,14,68,46,57,0,0,.270,.339,.403,.742
309RogerR MarisMarisCF309‌‌‌,1957,CLE,116,358,61,84,9,5,14,51,60,79,8,4,.235,.344,.405,.749
309RyanR GarkoGarko1B309‌‌‌,2008,CLE,141,495,61,135,21,1,14,90,45,86,0,0,.273,.346,.404,.750
309EddieE RobinsonRobinson1B309‌‌‌,1947,CLE,95,318,52,78,10,1,14,52,30,18,1,0,.245,.314,.415,.729
309JulioJ FrancoFranco1B309‌‌‌,1996,CLE,112,432,72,139,20,1,14,76,61,82,8,8,.322,.407,.470,.877
309YanY GomesGomesC309‌‌‌,2017,CLE,105,341,43,79,15,0,14,56,31,99,0,0,.232,.309,.399,.708
309VicV WertzWertz1B309‌‌‌,1954,CLE,94,295,33,81,14,2,14,48,34,40,0,2,.275,.344,.478,.822
346JaysonJ NixNix3B346‌‌‌,2010,CLE,78,282,29,66,14,0,13,29,13,75,1,2,.234,.283,.422,.705
346MarkM DeRosaDeRosa3B346‌‌‌,2009,CLE,71,278,47,75,13,0,13,50,29,63,1,1,.270,.342,.457,.799
346MickeyM RoccoRocco1B346‌‌‌,1944,CLE,155,653,87,174,29,7,13,70,56,51,4,8,.266,.325,.392,.717
346JhonnyJ PeraltaPeraltaSS346‌‌‌,2006,CLE,149,569,84,146,28,3,13,68,56,152,0,1,.257,.323,.385,.708
346RicoR CartyCartyDH346‌‌‌,1976,CLE,152,552,67,171,34,0,13,83,67,45,1,1,.310,.379,.442,.821
346BenB BroussardBroussard1B346‌‌‌,2006,CLE,88,268,44,86,14,0,13,46,17,58,0,1,.321,.361,.519,.880
346LarryL DobyDobyCF346‌‌‌,1958,CLE,89,247,41,70,10,1,13,45,26,49,0,2,.283,.348,.490,.838
346JerryJ KindallKindall2B346‌‌‌,1962,CLE,154,530,51,123,21,1,13,55,45,107,4,3,.232,.290,.349,.639
346BrookB JacobyJacoby3B346‌‌‌,1989,CLE,147,519,49,141,26,5,13,64,62,90,2,5,.272,.348,.416,.764
346OdellO HaleHale2B346‌‌‌,1934,CLE,143,563,82,170,44,6,13,101,48,50,8,12,.302,.357,.471,.828
346LonnieL ChisenhallChisenhall3B346‌‌‌,2014,CLE,142,478,62,134,29,1,13,59,39,99,3,1,.280,.343,.427,.770
346KenK KeltnerKeltner3B346‌‌‌,1944,CLE,149,573,74,169,41,9,13,91,53,29,4,3,.295,.355,.466,.821
346KenK KeltnerKeltner3B346‌‌‌,1939,CLE,154,587,84,191,35,11,13,97,51,41,6,6,.325,.379,.489,.868
346KenK KeltnerKeltner3B346‌‌‌,1946,CLE,116,398,47,96,17,1,13,45,30,38,0,3,.241,.294,.387,.681
346TravisT HafnerHafnerDH346‌‌‌,2010,CLE,118,396,46,110,29,0,13,50,51,94,2,1,.278,.374,.449,.823
346TravisT HafnerHafnerDH346‌‌‌,2011,CLE,94,325,41,91,16,0,13,57,36,78,0,0,.280,.361,.449,.810
346JoeJ CarterCarterLF346‌‌‌,1984,CLE,66,244,32,67,6,1,13,41,11,48,2,4,.275,.307,.467,.774
346JoshJ NaylorNaylor1B346‌‌‌,2024,CLE,49,178,27,43,8,0,13,35,21,31,3,2,.242,.330,.506,.836
346FranklinF GutierrezGutierrezRF346‌‌‌,2007,CLE,100,271,41,72,13,2,13,36,21,77,8,3,.266,.318,.472,.790
346BobbyB AvilaAvila2B346‌‌‌,1955,CLE,141,537,83,146,22,4,13,61,82,47,1,4,.272,.368,.400,.768
346BibbB FalkFalkRF346‌‌‌,1929,CLE,125,426,65,133,30,7,13,93,42,14,4,4,.312,.374,.507,.881
346DaleD MitchellMitchellLF346‌‌‌,1953,CLE,134,500,76,150,26,4,13,60,42,20,3,1,.300,.354,.446,.800
346JoeJ AdcockAdcock1B346‌‌‌,1963,CLE,97,283,28,71,7,1,13,49,30,53,1,2,.251,.320,.420,.740
369KennyK LoftonLoftonCF369‌‌‌,1994,CLE,112,459,105,160,32,9,12,57,52,56,60,12,.349,.412,.536,.948
369KennyK LoftonLoftonCF369‌‌‌,1998,CLE,154,600,101,169,31,6,12,64,87,80,54,10,.282,.371,.413,.784
369RayR MackMack2B369‌‌‌,1940,CLE,146,530,60,150,21,5,12,69,51,77,4,2,.283,.346,.409,.755
369LarryL BrownBrown2B369‌‌‌,1964,CLE,115,335,33,77,12,1,12,40,24,55,1,2,.230,.283,.379,.662
369RayR FosseFosseC369‌‌‌,1971,CLE,133,486,53,134,21,1,12,62,36,62,4,1,.276,.329,.397,.726
369DaveD PhilleyPhilleyRF369‌‌‌,1954,CLE,133,452,48,102,13,3,12,60,57,48,2,4,.226,.308,.347,.655
369KellyK ShoppachShoppachC369‌‌‌,2009,CLE,89,271,33,58,14,0,12,40,33,98,0,0,.214,.335,.399,.734
369MarquisM GrissomGrissomCF369‌‌‌,1997,CLE,144,558,74,146,27,6,12,66,43,89,22,13,.262,.317,.396,.713
369YanY GomesGomesC369‌‌‌,2015,CLE,95,363,38,84,22,0,12,45,13,104,0,0,.231,.267,.391,.658
369PeteP O'BrienO'Brien1B369‌‌‌,1989,CLE,155,554,75,144,24,1,12,55,83,48,3,1,.260,.356,.372,.728
369ChuckC EssegianEssegianCF369‌‌‌,1961,CLE,60,166,25,48,7,1,12,35,10,33,0,0,.289,.328,.560,.888
369ElmerE SmithSmithRF369‌‌‌,1920,CLE,131,456,82,144,37,10,12,103,53,35,5,4,.316,.391,.520,.911
369JakeJ BauersBauersLF369‌‌‌,2019,CLE,117,372,46,84,16,1,12,43,45,115,3,3,.226,.312,.371,.683
369LonnieL ChisenhallChisenhallRF369‌‌‌,2017,CLE,82,236,34,68,17,1,12,53,25,55,2,2,.288,.360,.521,.881
369VicV PowerPower1B369‌‌‌,1958,CLE,93,385,63,122,24,6,12,53,13,11,2,1,.317,.336,.504,.840
