0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
414DavidD DellucciDellucciX414‌‌‌,1999,AZ,63,109,27,43,7,1,1,15,11,24,2,0,.394,.463,.505,.968
414RandyR JohnsonJohnsonP414‌‌‌,2003,AZ,18,36,2,7,0,0,1,3,0,17,0,0,.194,.194,.278,.472
414FelixF JoseJoseX414‌‌‌,2003,AZ,18,18,1,6,1,0,1,6,6,3,0,0,.333,.500,.556,1.056
414ColeC GillespieGillespieLF414‌‌‌,2011,AZ,5,6,2,2,0,0,1,4,1,1,0,0,.333,.429,.833,1.262
414CodyC RansomRansomSS414‌‌‌,2011,AZ,12,33,3,5,2,0,1,4,3,9,1,0,.152,.243,.303,.546
414JoshJ WhitesellWhitesellX414‌‌‌,2008,AZ,7,7,1,2,0,0,1,1,1,2,0,0,.286,.444,.714,1.158
414JoshJ WhitesellWhitesell1B414‌‌‌,2009,AZ,46,108,7,21,7,0,1,14,24,29,0,0,.194,.346,.287,.633
414JonJ JayJayRF414‌‌‌,2020,AZ,18,50,5,8,1,0,1,4,3,12,0,0,.160,.211,.240,.451
414TaijuanT WalkerWalkerP414‌‌‌,2017,AZ,28,52,6,12,1,0,1,5,1,19,0,0,.231,.245,.308,.553
414DominicD CanzoneCanzoneDH414‌‌‌,2023,AZ,15,38,4,9,2,0,1,8,2,8,0,0,.237,.293,.368,.661
414CarsonC KellyKellyC414‌‌‌,2023,AZ,33,84,6,19,3,0,1,6,7,23,1,0,.226,.283,.298,.581
414GreggG OlsonOlsonP414‌‌‌,1998,AZ,64,2,1,1,0,0,1,2,0,1,0,0,.500,.500,2.000,2.500
414ConorC JacksonJacksonLF414‌‌‌,2010,AZ,42,151,19,36,11,0,1,11,20,18,4,1,.238,.326,.331,.657
414BarryB EnrightEnrightP414‌‌‌,2011,AZ,8,12,1,2,0,0,1,2,2,2,0,0,.167,.286,.417,.703
414ConorC JacksonJacksonLF414‌‌‌,2009,AZ,30,99,8,18,4,0,1,14,11,16,5,0,.182,.264,.253,.517
