0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
353RuppertR JonesJonesLF353‌‌‌,1987,CAL,85,192,25,47,8,2,8,28,20,38,2,1,.245,.316,.432,.748
353OrlandoO CabreraCabreraSS353‌‌‌,2005,LAA,141,540,70,139,28,3,8,57,38,50,21,2,.257,.309,.365,.674
353MattM ThaissThaiss3B353‌‌‌,2019,LAA,53,147,17,31,7,0,8,23,17,52,0,0,.211,.293,.422,.715
353J.T.J SnowSnow1B353‌‌‌,1994,CAL,61,223,22,49,4,0,8,30,19,48,0,1,.220,.289,.345,.634
353RonR JacksonJackson3B353‌‌‌,1983,CAL,102,348,41,80,16,1,8,39,27,33,2,2,.230,.291,.351,.642
353RonR JacksonJackson1B353‌‌‌,1977,CAL,106,292,38,71,15,2,8,28,24,42,3,2,.243,.301,.390,.691
353RonR JacksonJackson3B353‌‌‌,1976,CAL,127,410,44,93,18,3,8,40,30,58,5,4,.227,.289,.344,.633
353DarylD SconiersSconiers1B353‌‌‌,1983,CAL,106,314,49,86,19,3,8,46,17,41,4,2,.274,.310,.430,.740
353TaylorT WardWardRF353‌‌‌,2021,LAA,65,208,33,52,15,0,8,33,20,55,1,1,.250,.332,.438,.770
353RexR HudlerHudler2B353‌‌‌,1994,CAL,56,124,17,37,8,0,8,20,6,28,2,2,.298,.326,.556,.882
353JackJ HowellHowell3B353‌‌‌,1996,CAL,66,126,20,34,4,1,8,21,10,30,0,1,.270,.324,.508,.832
353JackJ HowellHowell3B353‌‌‌,1990,CAL,105,316,35,72,19,1,8,33,46,61,3,0,.228,.326,.370,.696
353DallasD McPhersonMcPherson3B353‌‌‌,2005,LAA,61,205,29,50,14,2,8,26,14,64,3,3,.244,.295,.449,.744
353TomT SatrianoSatrianoC353‌‌‌,1968,CAL,111,297,20,75,9,0,8,35,37,44,0,0,.253,.337,.364,.701
353DickD SchofieldSchofieldSS353‌‌‌,1985,CAL,147,438,50,96,19,3,8,41,35,70,11,4,.219,.287,.331,.618
353KoleK CalhounCalhounRF353‌‌‌,2013,LAA,58,195,29,55,7,2,8,32,21,41,2,2,.282,.347,.462,.809
353JoseJ IglesiasIglesiasSS353‌‌‌,2021,LAA,114,424,57,110,23,1,8,41,18,66,5,2,.259,.295,.375,.670
353HubieH BrooksBrooksDH353‌‌‌,1992,CAL,82,306,28,66,13,0,8,36,12,46,3,3,.216,.247,.337,.584
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
401BubbaB MortonMortonRF401‌‌‌,1969,CAL,87,172,18,42,10,1,7,32,28,29,0,0,.244,.356,.436,.792
401ChrisC IannettaIannettaC401‌‌‌,2014,LAA,108,306,41,77,22,0,7,43,54,91,3,0,.252,.373,.392,.765
401JustinJ UptonUptonLF401‌‌‌,2017,LAA,27,98,19,24,7,0,7,15,17,33,4,0,.245,.357,.531,.888
401MaxM StassiStassiC401‌‌‌,2020,LAA,31,90,12,25,2,0,7,20,11,21,0,0,.278,.352,.533,.885
401BobbyB GrichGrichSS401‌‌‌,1977,CAL,52,181,24,44,6,0,7,23,37,40,6,6,.243,.369,.392,.761
401JonathanJ LucroyLucroyC401‌‌‌,2019,LAA,74,240,28,58,8,1,7,30,21,39,0,0,.242,.310,.371,.681
401AdamA KennedyKennedy2B401‌‌‌,2002,ANA,144,474,65,148,32,6,7,52,19,80,17,4,.312,.345,.449,.794
401HankH CongerCongerC401‌‌‌,2013,LAA,92,233,23,58,13,1,7,21,17,61,0,1,.249,.310,.403,.713
401ReneR GonzalesGonzales3B401‌‌‌,1992,CAL,104,329,47,91,17,1,7,38,41,46,7,4,.277,.363,.398,.761
401YunelY EscobarEscobar3B401‌‌‌,2017,LAA,89,350,43,96,20,1,7,31,29,51,1,4,.274,.333,.397,.730
401AlbieA PearsonPearsonRF401‌‌‌,1961,LAA,144,427,92,123,21,3,7,41,96,40,11,3,.288,.420,.400,.820
401JefryJ MarteMarte1B401‌‌‌,2018,LAA,90,194,28,42,7,1,7,22,13,41,1,1,.216,.273,.371,.644
401ShawnS WootenWooten1B401‌‌‌,2003,ANA,98,272,25,66,8,0,7,32,24,45,0,4,.243,.303,.349,.652
401ShoheiS OhtaniOhtaniDH401‌‌‌,2020,LAA,46,153,23,29,6,0,7,24,22,50,7,1,.190,.291,.366,.657
401HowieH KendrickKendrick2B401‌‌‌,2014,LAA,157,617,85,181,33,5,7,75,48,110,14,5,.293,.347,.397,.744
401DallasD McPhersonMcPherson3B401‌‌‌,2006,LAA,40,115,16,30,4,0,7,13,6,40,1,0,.261,.298,.478,.776
401BobB BooneBooneC401‌‌‌,1982,CAL,143,472,42,121,17,0,7,58,39,34,0,2,.256,.310,.337,.647
401BillyB MoranMoran2B401‌‌‌,1963,LAA,153,597,67,164,29,5,7,65,31,57,1,1,.275,.310,.375,.685
