PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
390BillB MadlockMadlock3B390‌‌‌,1977,SF,140,533,70,161,28,1,12,46,43,33,13,10,.302,.360,.426,.786
390ÁngelA PagánPagánLF390‌‌‌,2016,SF,129,495,71,137,24,5,12,55,42,66,15,4,.277,.331,.418,.749
390ErnieE LombardiLombardiC390‌‌‌,1946,NYG,88,238,19,69,4,1,12,39,18,24,0,--,.290,.347,.466,.813
390DaveD RobertsonRobertsonRF390‌‌‌,1916,NYG,150,587,88,180,18,8,12,69,14,56,21,17,.307,.326,.426,.752
390CharlieC HayesHayes3B390‌‌‌,1998,SF,111,329,39,94,8,0,12,62,34,61,2,1,.286,.351,.419,.770
390DaveD RobertsonRobertsonRF390‌‌‌,1917,NYG,142,532,64,138,16,9,12,54,10,47,17,--,.259,.276,.391,.667
390ShantyS HoganHoganC390‌‌‌,1931,NYG,123,396,42,119,17,1,12,65,29,29,1,--,.301,.354,.439,.793
390RayR JablonskiJablonski3B390‌‌‌,1958,SF,86,230,28,53,15,1,12,46,17,50,2,0,.230,.287,.461,.748
390WallyW BergerBergerCF390‌‌‌,1937,NYG,59,199,40,58,11,2,12,43,18,30,3,--,.291,.359,.548,.907
390WhiteyW LockmanLockman1B390‌‌‌,1951,NYG,153,614,85,173,27,7,12,73,50,32,4,5,.282,.339,.407,.746
390EliezerE AlfonzoAlfonzoC390‌‌‌,2006,SF,87,286,27,76,17,2,12,39,9,74,1,0,.266,.302,.465,.767
390LanceL NiekroNiekro1B390‌‌‌,2005,SF,113,278,32,70,16,3,12,46,17,53,0,2,.252,.295,.460,.755
390MattM DuffyDuffy3B390‌‌‌,2015,SF,149,573,77,169,28,6,12,77,30,96,12,0,.295,.334,.428,.762
390JimJ DavenportDavenport3B390‌‌‌,1961,SF,137,436,64,121,28,4,12,65,45,65,4,3,.278,.342,.443,.785
390JimJ DavenportDavenport3B390‌‌‌,1958,SF,134,434,70,111,22,3,12,41,33,64,1,3,.256,.317,.403,.720
390EdE GoodsonGoodson3B390‌‌‌,1973,SF,102,384,37,116,20,1,12,53,15,44,0,1,.302,.331,.453,.784
390WillieW McCoveyMcCovey1B390‌‌‌,1978,SF,108,351,32,80,19,2,12,64,36,57,1,0,.228,.298,.396,.694
390HankH SauerSauerLF390‌‌‌,1958,SF,88,236,27,59,8,0,12,46,35,37,0,0,.250,.354,.436,.790
390PabloP SandovalSandoval3B390‌‌‌,2012,SF,108,396,59,112,25,2,12,63,38,59,1,1,.283,.342,.447,.789
390AustinA SlaterSlaterCF390‌‌‌,2021,SF,129,274,39,66,12,1,12,32,28,84,15,2,.241,.320,.423,.743
390JackieJ BrandtBrandtLF390‌‌‌,1959,SF,137,429,63,116,16,5,12,57,35,69,11,4,.270,.324,.415,.739
390DarylD SpencerSpencer2B390‌‌‌,1959,SF,152,555,59,147,20,1,12,62,58,67,5,0,.265,.332,.369,.701
390AubreyA HuffHuff1B390‌‌‌,2011,SF,150,521,45,128,27,1,12,59,47,90,5,3,.246,.306,.370,.676
390DonD MuellerMuellerRF390‌‌‌,1952,NYG,126,456,61,128,14,7,12,49,34,24,2,1,.281,.333,.421,.754
390HankH LeiberLeiberCF390‌‌‌,1938,NYG,98,360,50,97,18,4,12,65,31,45,0,--,.269,.327,.442,.769
435FrankF DemareeDemareeCF435‌‌‌,1939,NYG,150,560,68,170,27,2,11,79,66,40,2,--,.304,.381,.418,.799
435GarryG MaddoxMaddoxCF435‌‌‌,1973,SF,144,587,81,187,30,10,11,76,24,73,24,10,.319,.350,.460,.810
435FrankF SnyderSnyderC435‌‌‌,1925,NYG,107,325,21,78,9,1,11,51,20,49,0,0,.240,.286,.375,.661
435WillardW MarshallMarshallLF435‌‌‌,1942,NYG,116,401,41,103,9,2,11,59,26,20,1,--,.257,.307,.372,.679
435A.J.A PierzynskiPierzynskiC435‌‌‌,2004,SF,131,471,45,128,28,2,11,77,19,27,0,1,.272,.319,.410,.729
435BobbyB MurcerMurcerRF435‌‌‌,1975,SF,147,526,80,157,29,4,11,91,91,45,9,5,.298,.396,.432,.828
435DarylD SpencerSpencerSS435‌‌‌,1957,NYG,148,534,65,133,31,2,11,50,50,50,3,1,.249,.313,.376,.689
435RayR DurhamDurham2B435‌‌‌,2007,SF,138,464,56,101,21,2,11,71,53,75,10,2,.218,.295,.343,.638
