0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
302DevonD WhiteWhiteCF302‌‌‌,1995,TOR,101,427,61,121,23,5,10,53,29,97,11,2,.283,.334,.431,.765
302ShannonS StewartStewartLF302‌‌‌,2002,TOR,141,577,103,175,38,6,10,45,54,60,14,2,.303,.371,.442,.813
302AlexA RiosRiosRF302‌‌‌,2005,TOR,146,481,71,126,23,6,10,59,28,101,14,9,.262,.306,.397,.703
302JorgeJ OrtaOrtaDH302‌‌‌,1983,TOR,103,245,30,58,6,3,10,38,19,29,1,2,.237,.287,.408,.695
302GreggG ZaunZaunC302‌‌‌,2007,TOR,110,331,43,80,24,1,10,52,51,55,0,0,.242,.341,.411,.752
302BuckB MartinezMartinezC302‌‌‌,1982,TOR,96,260,26,63,17,0,10,37,24,34,1,1,.242,.301,.423,.724
302OrlandoO HudsonHudson2B302‌‌‌,2005,TOR,131,461,62,125,25,5,10,63,30,65,7,1,.271,.315,.412,.727
302JoséJ ReyesReyesSS302‌‌‌,2013,TOR,93,382,58,113,20,0,10,37,34,47,15,6,.296,.353,.427,.780
302RanceR MulliniksMulliniks3B302‌‌‌,1985,TOR,129,366,55,108,26,1,10,57,55,54,2,0,.295,.383,.454,.837
302RussellR MartinMartinC302‌‌‌,2018,TOR,90,289,37,56,8,0,10,25,56,82,0,3,.194,.338,.325,.663
302ReedR JohnsonJohnsonLF302‌‌‌,2004,TOR,141,537,68,145,25,2,10,61,28,98,6,3,.270,.320,.380,.700
325VladimirV Guerrero Jr.Guerrero1B325‌‌‌,2020,TOR,60,221,34,58,13,2,9,33,20,38,1,0,.262,.329,.462,.791
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
325CarlosC DelgadoDelgadoLF325‌‌‌,1994,TOR,43,130,17,28,2,0,9,24,25,46,1,1,.215,.352,.438,.790
325OrlandoO MercedMercedRF325‌‌‌,1997,TOR,98,368,45,98,23,2,9,40,47,62,7,3,.266,.352,.413,.765
325TonyT FernandezFernandez2B325‌‌‌,1998,TOR,138,486,71,156,36,2,9,72,45,53,13,8,.321,.387,.459,.846
325PatP BordersBordersC325‌‌‌,1993,TOR,138,488,38,124,30,0,9,55,20,66,2,2,.254,.285,.371,.656
325AlanA AshbyAshbyC325‌‌‌,1978,TOR,81,264,27,69,15,0,9,29,28,32,1,1,.261,.333,.420,.753
325LloydL MosebyMosebyRF325‌‌‌,1980,TOR,114,389,44,89,24,1,9,46,25,85,4,6,.229,.281,.365,.646
325JuniorJ FelixFelixRF325‌‌‌,1989,TOR,110,415,62,107,14,8,9,46,33,101,18,12,.258,.315,.395,.710
325JoséJ ReyesReyesSS325‌‌‌,2014,TOR,143,610,94,175,33,4,9,51,38,73,30,2,.287,.328,.398,.726
