0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
258DansbyD SwansonSwansonSS258‌‌‌,2019,ATL,127,483,77,121,26,3,17,65,51,124,10,5,.251,.325,.422,.747
258JavyJ LopezLopezC258‌‌‌,2001,ATL,128,438,45,117,16,1,17,66,28,82,1,0,.267,.322,.425,.747
258GeraldG WilliamsWilliamsLF258‌‌‌,1999,ATL,143,422,76,116,24,1,17,68,33,67,19,11,.275,.335,.457,.792
258BrianB JordanJordanRF258‌‌‌,2000,ATL,133,489,71,129,26,0,17,77,38,80,10,2,.264,.320,.421,.741
258BobbyB LoweLowe2B258‌‌‌,1894,BSN,133,613,158,212,34,11,17,115,50,25,23,--,.346,.401,.520,.921
258RyanR KleskoKleskoLF258‌‌‌,1994,ATL,92,245,42,68,13,3,17,47,26,48,1,0,.278,.344,.563,.907
258JimmyJ WynnWynnLF258‌‌‌,1976,ATL,148,449,75,93,19,1,17,66,127,111,16,6,.207,.377,.367,.744
258AndyA PafkoPafkoRF258‌‌‌,1953,MIL,140,516,70,153,23,4,17,72,37,33,2,1,.297,.347,.455,.802
258DaleD MurphyMurphyRF258‌‌‌,1990,ATL,97,349,38,81,14,0,17,55,41,84,9,2,.232,.312,.418,.730
258TerryT HarperHarperLF258‌‌‌,1985,ATL,138,492,58,130,15,2,17,72,44,76,9,9,.264,.327,.407,.734
258MarkM TeixeiraTeixeira1B258‌‌‌,2007,ATL,54,208,38,66,9,1,17,56,27,46,0,0,.317,.404,.615,1.019
258JeffJ BlauserBlauserSS258‌‌‌,1997,ATL,151,519,90,160,31,4,17,70,70,101,5,1,.308,.405,.482,.887
258BobB ElliottElliott3B258‌‌‌,1949,BSN,139,482,77,135,29,5,17,76,90,38,0,--,.280,.395,.467,.862
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
258RonR GantGantLF258‌‌‌,1992,ATL,153,544,74,141,22,6,17,80,45,101,32,10,.259,.321,.415,.736
258ClaudellC WashingtonWashingtonRF258‌‌‌,1984,ATL,120,416,62,119,21,2,17,61,59,77,21,9,.286,.374,.469,.843
258WallyW BergerBergerCF258‌‌‌,1932,BSN,145,602,90,185,34,6,17,73,33,66,5,--,.307,.346,.468,.814
258OrlandoO ArciaArciaSS258‌‌‌,2023,ATL,139,488,66,129,25,0,17,65,39,102,1,0,.264,.321,.420,.741
258DustyJ Baker Jr.BakerCF258‌‌‌,1972,ATL,127,446,62,143,27,2,17,76,45,68,4,7,.321,.383,.504,.887
281EddieE MathewsMathews3B281‌‌‌,1966,ATL,134,452,72,113,21,4,16,53,63,82,1,1,.250,.341,.420,.761
281MikeM LumLum1B281‌‌‌,1973,ATL,138,513,74,151,26,6,16,82,41,89,2,5,.294,.351,.462,.813
281AdamA DuvallDuvallLF281‌‌‌,2021,ATL,55,199,26,45,7,1,16,45,14,69,0,0,.226,.287,.513,.800
281MaxM WestWest1B281‌‌‌,1942,BSN,134,452,54,115,22,0,16,56,68,59,4,--,.254,.354,.409,.763
281KellyK JohnsonJohnson2B281‌‌‌,2007,ATL,147,521,91,144,26,10,16,68,79,117,9,5,.276,.375,.457,.832
281ClaudellC WashingtonWashingtonRF281‌‌‌,1982,ATL,150,563,94,150,24,6,16,80,50,107,33,10,.266,.330,.416,.746
281CleteC BoyerBoyer3B281‌‌‌,1970,ATL,134,475,44,117,14,1,16,62,41,71,2,5,.246,.305,.381,.686
281TroyT GlausGlaus1B281‌‌‌,2010,ATL,128,412,52,99,18,0,16,71,63,100,0,0,.240,.344,.400,.744
281AdamA DuvallDuvallLF281‌‌‌,2020,ATL,57,190,34,45,8,0,16,33,15,54,0,0,.237,.301,.532,.833
281ButchB NiemanNiemanLF281‌‌‌,1944,BSN,134,468,65,124,16,6,16,65,47,47,5,--,.265,.332,.427,.759
281HarryH StoveyStoveyX281‌‌‌,1891,BSN,134,544,118,152,31,20,16,95,79,69,57,--,.279,.373,.498,.871
281RicoR CartyCartyLF281‌‌‌,1969,ATL,104,304,47,104,15,0,16,58,32,28,0,2,.342,.401,.549,.950
281GeneG MooreMooreRF281‌‌‌,1937,BSN,148,561,88,159,29,10,16,70,61,73,11,--,.283,.358,.456,.814
281EarlE TorgesonTorgeson1B281‌‌‌,1947,BSN,128,399,73,112,20,6,16,78,82,59,11,--,.281,.403,.481,.884
281DelD CrandallCrandallC281‌‌‌,1956,MIL,112,311,37,74,14,2,16,48,35,30,1,2,.238,.313,.450,.763
296JohnnyJ LoganLoganSS296‌‌‌,1956,MIL,148,545,69,153,27,5,15,46,46,49,3,0,.281,.340,.431,.771
296GeorgeG CroweCrowe1B296‌‌‌,1955,MIL,104,303,41,85,12,4,15,55,45,44,1,0,.281,.374,.495,.869
296RonaldR Acuña Jr.AcuñaRF296‌‌‌,2022,ATL,119,467,71,124,24,0,15,50,53,126,29,11,.266,.351,.413,.764
296OzzieO VirgilVirgilC296‌‌‌,1986,ATL,114,359,45,80,9,0,15,48,63,73,1,0,.223,.343,.373,.716
