0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
372MartínM PradoPrado3B372‌‌‌,2017,MIA,37,140,13,35,9,0,2,12,6,22,0,0,.250,.279,.357,.636
372NickN FortesFortesC372‌‌‌,2024,MIA,38,93,7,14,2,0,2,8,3,12,0,1,.151,.186,.237,.423
372MartínM PradoPradoX372‌‌‌,2019,MIA,104,245,26,57,9,0,2,15,12,41,0,0,.233,.265,.294,.559
372JazzJ Chisholm Jr.Chisholm2B372‌‌‌,2020,MIA,21,56,8,9,1,1,2,6,5,19,2,2,.161,.242,.321,.563
372ChuckC CarrCarrCF372‌‌‌,1995,FLA,105,308,54,70,20,0,2,20,46,49,25,11,.227,.330,.312,.642
372DontrelleD WillisWillisP372‌‌‌,2007,FLA,38,63,11,18,2,3,2,7,5,13,0,1,.286,.348,.508,.856
372DaveD BergBerg2B372‌‌‌,1998,FLA,81,182,18,57,11,0,2,21,26,46,3,0,.313,.393,.407,.800
372ChrisC HammondHammondP372‌‌‌,1993,FLA,33,63,10,12,0,1,2,4,9,26,0,0,.190,.292,.317,.609
372EnriqueK HernándezHernándezCF372‌‌‌,2014,MIA,18,40,3,7,2,1,2,6,4,10,0,0,.175,.267,.425,.692
372GregG DobbsDobbsX372‌‌‌,2013,MIA,114,237,21,54,11,0,2,22,22,40,1,1,.228,.303,.300,.603
444ChristianC BethancourtBethancourtC444‌‌‌,2024,MIA,29,62,8,10,2,0,1,5,2,15,0,0,.161,.200,.242,.442
444IchiroI SuzukiSuzukiX444‌‌‌,2016,MIA,143,327,48,95,15,5,1,22,30,42,10,2,.291,.354,.376,.730
444IchiroI SuzukiSuzukiRF444‌‌‌,2015,MIA,153,398,45,91,5,6,1,21,31,51,11,5,.229,.282,.279,.561
444MarkM HuttonHuttonP444‌‌‌,1996,FLA,13,19,2,6,0,0,1,1,0,6,0,0,.316,.316,.474,.790
444PeterP O'BrienO'BrienRF444‌‌‌,2019,MIA,14,42,2,7,1,0,1,4,4,19,1,0,.167,.255,.262,.517
444ChrisC ClapinskiClapinski2B444‌‌‌,2000,FLA,34,49,12,15,4,1,1,7,5,7,0,0,.306,.370,.490,.860
444RussR MormanMormanRF444‌‌‌,1997,FLA,4,7,3,2,1,0,1,2,0,2,1,0,.286,.286,.857,1.143
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
444LennyL HarrisHarrisX444‌‌‌,2005,FLA,83,70,5,22,4,0,1,13,7,11,0,1,.314,.385,.414,.799
444A.J.A BurnettBurnettP444‌‌‌,2005,FLA,32,68,3,10,2,2,1,2,1,34,0,0,.147,.171,.279,.450
444Abraham M.A NunezNunezLF444‌‌‌,2004,FLA,58,64,9,11,1,1,1,5,9,21,1,2,.172,.274,.266,.540
444LennyL HarrisHarrisX444‌‌‌,2004,FLA,79,95,7,20,5,0,1,17,3,8,0,0,.211,.232,.295,.527
444A.J.A BurnettBurnettP444‌‌‌,2000,FLA,13,25,3,7,1,1,1,3,3,10,0,0,.280,.357,.520,.877
444TomásT TelisTelisX444‌‌‌,2016,MIA,10,13,1,4,0,0,1,4,0,2,0,0,.308,.308,.538,.846
444PeytonP BurdickBurdickRF444‌‌‌,2023,MIA,14,33,4,6,2,0,1,2,3,18,1,0,.182,.270,.333,.603
444EmilioE BonifácioBonifácioCF444‌‌‌,2012,MIA,64,244,30,63,3,4,1,11,25,52,30,3,.258,.330,.316,.646
444JuanJ PierrePierreLF444‌‌‌,2013,MIA,113,308,36,76,11,2,1,8,13,27,23,6,.247,.284,.305,.589
444EmilioE BonifácioBonifácio3B444‌‌‌,2009,FLA,127,461,72,116,11,6,1,27,34,95,21,9,.252,.303,.308,.611
444MichaelM TejeraTejeraP444‌‌‌,2002,FLA,49,37,5,7,0,0,1,5,1,6,0,0,.189,.231,.270,.501
444VladimirV NunezNunezP444‌‌‌,2000,FLA,17,17,2,2,0,0,1,3,0,5,0,0,.118,.118,.294,.412
444JimJ EisenreichEisenreichX444‌‌‌,1998,FLA,30,64,9,16,1,0,1,7,4,14,2,0,.250,.294,.313,.607
444JuanJ PierrePierreCF444‌‌‌,2003,FLA,162,668,100,204,28,7,1,41,55,35,65,20,.305,.361,.373,.734
444RobR BrantlyBrantlyC444‌‌‌,2013,MIA,67,223,11,47,9,0,1,18,15,53,0,0,.211,.263,.265,.528
444JoshJ BeckettBeckettP444‌‌‌,2005,FLA,29,59,5,9,3,0,1,6,7,17,0,0,.153,.239,.254,.493
444TonyT SaundersSaundersP444‌‌‌,1997,FLA,22,37,2,3,0,0,1,1,2,19,0,0,.081,.128,.162,.290
444BryanB HoladayHoladayC444‌‌‌,2018,MIA,61,151,7,31,5,0,1,16,10,29,0,0,.205,.261,.258,.519
444ChadC WallachWallachC444‌‌‌,2020,MIA,15,44,4,10,3,0,1,6,3,12,0,0,.227,.277,.364,.641
444AdeinyA HechavarríaHechavarríaSS444‌‌‌,2017,MIA,20,65,8,18,2,1,1,6,1,9,0,0,.277,.288,.385,.673
444DaneD MyersMyersCF444‌‌‌,2023,MIA,22,67,9,18,3,0,1,9,2,19,1,1,.269,.286,.358,.644
444RobR NatalNatalC444‌‌‌,1993,FLA,41,117,3,25,4,1,1,6,6,22,1,0,.214,.273,.291,.564
444DaneD MyersMyersRF444‌‌‌,2024,MIA,15,31,7,9,1,1,1,8,4,12,1,0,.290,.395,.484,.879
444CraigC GrebeckGrebeck2B444‌‌‌,1996,FLA,50,95,8,20,1,0,1,9,4,14,0,0,.211,.245,.253,.498
444RickyR NolascoNolascoP444‌‌‌,2006,FLA,35,41,2,7,0,0,1,5,2,19,0,0,.171,.209,.244,.453
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
444ChrisC HammondHammondP444‌‌‌,1995,FLA,25,48,7,13,2,0,1,4,7,16,0,0,.271,.364,.375,.739
444ChadC WallachWallachC444‌‌‌,2019,MIA,19,48,4,12,3,0,1,3,6,12,0,0,.250,.333,.375,.708
444DaveD BergBergSS444‌‌‌,2000,FLA,82,210,23,53,14,1,1,21,25,46,3,0,.252,.340,.343,.683
444DevenD MarreroMarreroSS444‌‌‌,2021,MIA,10,16,4,3,0,0,1,1,3,6,1,0,.188,.316,.375,.691
444DeeD Strange-GordonStrange-Gordon2B444‌‌‌,2016,MIA,79,325,47,87,7,6,1,14,18,55,30,7,.268,.305,.335,.640
444ChrisC CoghlanCoghlanX444‌‌‌,2013,MIA,70,195,10,50,10,3,1,10,17,43,2,0,.256,.318,.354,.672
444ChrisC CoghlanCoghlanLF444‌‌‌,2012,MIA,39,93,10,13,1,0,1,10,9,12,0,2,.140,.212,.183,.395
444PatP RappRappP444‌‌‌,1997,FLA,19,35,3,5,0,0,1,2,0,12,0,0,.143,.143,.229,.372
444JasonJ GrilliGrilliP444‌‌‌,2001,FLA,6,7,1,2,0,0,1,2,0,2,0,0,.286,.286,.714,1.000
444ChadC TracyTracy3B444‌‌‌,2010,FLA,41,102,5,25,6,0,1,10,6,21,0,0,.245,.297,.333,.630
444ChadC WallachWallachC444‌‌‌,2018,MIA,15,45,4,8,1,0,1,5,4,23,0,0,.178,.275,.267,.542
444TimT RainesRainesX444‌‌‌,2002,FLA,98,89,9,17,3,0,1,7,22,19,0,0,.191,.351,.258,.609
444DarrellD WhitmoreWhitmoreCF444‌‌‌,1995,FLA,27,58,6,11,2,0,1,2,5,15,0,0,.190,.250,.276,.526
444MitchM LydenLydenX444‌‌‌,1993,FLA,6,10,2,3,0,0,1,1,0,3,0,0,.300,.300,.600,.900
444JustinJ BourBourX444‌‌‌,2014,MIA,39,74,10,21,3,0,1,11,9,19,0,0,.284,.361,.365,.726
444MikeM AvilesAvilesSS444‌‌‌,2017,MIA,37,86,5,20,2,0,1,8,6,15,0,0,.233,.298,.291,.589
444JoeJ DunandDunand2B444‌‌‌,2022,MIA,3,10,2,3,1,0,1,1,0,3,0,0,.300,.364,.700,1.064
444GreggG ZaunZaunC444‌‌‌,1996,FLA,10,31,4,9,1,0,1,2,3,5,1,0,.290,.353,.419,.772
444MonteM HarrisonHarrisonCF444‌‌‌,2020,MIA,32,47,8,8,1,0,1,3,4,26,6,0,.170,.235,.255,.490
444RobR NatalNatalC444‌‌‌,1997,FLA,4,4,2,2,1,0,1,3,2,0,0,0,.500,.571,1.500,2.071
444A.J.A BurnettBurnettP444‌‌‌,2002,FLA,31,57,1,6,2,0,1,3,5,28,0,0,.105,.177,.193,.370
444RyanR McGuireMcGuireX444‌‌‌,2001,FLA,48,54,8,10,2,0,1,8,7,15,1,0,.185,.270,.278,.548
444JoshJ WillinghamWillinghamX444‌‌‌,2004,FLA,12,25,2,5,0,0,1,1,4,8,0,0,.200,.310,.320,.630
444AlexA AriasArias3B444‌‌‌,1997,FLA,74,93,13,23,2,0,1,11,12,12,0,1,.247,.352,.301,.653
444JarrodJ SaltalamacchiaSaltalamacchiaC444‌‌‌,2015,MIA,9,29,3,2,1,0,1,1,4,12,0,0,.069,.182,.207,.389
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
444AdeinyA HechavarríaHechavarríaSS444‌‌‌,2014,MIA,146,536,53,148,20,10,1,34,26,86,7,5,.276,.308,.356,.664
444JohnJ CangelosiCangelosiX444‌‌‌,1997,FLA,103,192,28,47,8,0,1,12,19,33,5,1,.245,.321,.302,.623
444EddyE AlvarezAlvarez3B444‌‌‌,2021,MIA,24,64,8,12,4,1,1,6,4,18,1,0,.188,.297,.328,.625
444DontrelleD WillisWillisP444‌‌‌,2005,FLA,40,92,14,24,4,0,1,11,3,13,0,0,.261,.289,.337,.626
444WilliansW AstudilloAstudillo3B444‌‌‌,2022,MIA,21,54,5,13,0,0,1,4,1,3,1,0,.241,.255,.296,.551
444VidalV BrujánBrujánSS444‌‌‌,2024,MIA,39,98,14,26,6,2,1,6,8,15,2,3,.265,.333,.398,.731
444DestinD HoodHoodLF444‌‌‌,2016,MIA,13,25,3,6,1,0,1,2,0,11,0,1,.240,.240,.400,.640
444YadielY RiveraRiveraX444‌‌‌,2018,MIA,111,139,13,24,3,0,1,9,19,51,2,1,.173,.269,.216,.485
444DontrelleD WillisWillisP444‌‌‌,2004,FLA,42,74,5,15,2,1,1,3,4,17,0,0,.203,.244,.297,.541
